"","condition_FL_vs_ctl","condition_FS_vs_ctl","condition_LL_vs_ctl","condition_LS_vs_ctl","condition_RL_vs_ctl","condition_RS_vs_ctl","condition_SL_vs_ctl","condition_SS_vs_ctl","condition_YS_vs_ctl"
"CAALFM_C303330CA",-0.367736005281795,-1.10744201288453,-1.13437693080093,-1.44033177797902,-0.701527198627608,-1.02120366600335,-1.07270481319596,-0.656697283246476,-0.637149352941972
"CAALFM_C303340CA",-0.139800934483431,0.0292093961815514,-0.30662796434609,0.731340284476479,-0.130303549776019,0.334842520386489,0.00624227353444333,0.356519000202865,0.468649805363316
"tE(UUC)1",-0.308350910673034,-0.561059200114194,-1.26289196991999,-0.381552208664215,-0.934881382870807,0.204259108419387,-1.60718263885549,-2.02580382920918,-0.360166096530041
"FCY2",-1.30268099559297,0.131736862859312,-1.68155276576973,-0.10252378006817,-0.756717419029029,0.883111038601445,-3.73482957907708,-1.2802002635303,0.076239879512274
"CAALFM_C303370CA",2.21209509134507,5.63028232951734,4.38819048019085,4.6131851814459,2.35212211813433,3.75296852528997,3.81233739374571,4.21052388299193,0.177940591781537
"CAALFM_C303380WA",1.07565820467118,1.94961837557786,0.876756947547485,2.37452183459466,0.481193975458793,0.959985277461888,0.918917928364203,0.922395841624262,0.106303608559622
"YAH1",-1.08509287343798,-0.416003650663462,-1.39973810085524,-0.870789845662907,-0.879301639701582,-0.60598088037734,-1.06269782616786,-0.452644428010947,-0.691467921699135
"VTI1",0.889650790364997,1.4053714887064,1.14516737459842,2.46757345375688,0.721553040462603,1.28834157863712,1.01734008025974,1.2707125319127,0.97206574377465
"CAALFM_C303410CA",2.41322451906974,3.34748431568609,3.50963266928231,6.62266143826519,2.88871016192796,5.07507948590349,4.27670443168021,3.93757914728429,1.29484227914764
"NDE1",-0.874283936156545,1.36513591902828,-0.319510640975559,0.960005145996418,-0.101102451883109,0.00286529741704036,-1.36115770609773,-0.597868041363563,0.951674745334376
"CAALFM_C303430CA",0.490449657344443,2.55092946318574,1.45024139618719,2.70706755368737,1.25004203239644,1.86928383851968,0.708185698201988,0.377199909232361,1.91444199623124
"CAALFM_C303440CA",-2.1673548047501,-4.72115481803161,-0.803085047013835,-3.6540322122177,-1.01628816491854,-1.4543717964587,-1.6591391338581,-1.96572986525619,-1.9601396162018
"BMT7",1.25351169994622,0.388635401440476,0.245339009443294,0.579575534557567,-0.133781729154573,0.334149928176023,-0.233225547461915,-0.646359049549525,-0.87137929018559
"CAALFM_C303460CA",-0.750616208733672,-4.50437855162495,-2.25038930084977,-4.27860416179965,-1.15038226517592,-3.6417194689394,-2.19443349367495,-4.22762745734896,-1.55737028079519
"CAALFM_C303470WA",-0.866119169538197,-1.8869968522809,-2.79123569546249,-1.76952968269106,-1.73598117839153,-1.61367500623592,-0.572900080549041,1.03343527436442,0.0161953848452693
"ALT1",2.94073345071168,6.57574606118803,5.9995965675481,6.82288335476626,3.76568013753518,5.47298612485506,6.97588289875948,6.87337376647381,1.60656809114875
"RSN1",1.46230908075043,0.576107059670724,3.19630884291825,6.1966929192809,1.25801996902176,2.6102920623778,5.7633958788357,6.17025583699202,0.548650593985339
"SKN2",-0.0709876643115647,-0.0837706143824669,-0.0861953100937128,0.325633178586577,-0.502639927945407,0.268953979303472,-0.00502129919715297,-0.622092328328636,0.163649138159884
"CAALFM_C303510CA",0.814324478107735,1.17489702357875,0.947734129786002,2.04565358540559,0.763444342955303,1.45131344581749,0.904285324776786,0.653233921062387,0.637010167170393
"PRE9",0.577354324081898,0.765076175685419,1.07544913689768,0.917954978899839,0.130839842179782,0.429431173497691,0.64199046735243,0.351360923606254,0.435275387067869
"CAALFM_C303530WA",2.16624032282896,1.47498956404863,2.04103683806548,2.01283258742029,0.896716322840615,1.50823790837953,1.71776822465822,1.44951201369511,0.642458865141964
