"","condition_LL30_vs_ctl"
"FRS2",-0.642274518510723
"CAALFM_C102720WA",-0.0478019112766228
"CAALFM_C102730WA",0.499965431274711
"CAALFM_C102740CA",0.149803680937367
"CAALFM_C102750CA",-0.463131608860225
"CAALFM_C102760WA",0.887769054675379
"CAALFM_C102770WA",0.791181986758363
"CAALFM_C102780WA",3.62432541812667
"TIF34",-1.2025049024391
"CAALFM_C102800WA",0.933819950428186
"RAD16",-1.2095556527083
"LYS2",3.09911882646226
"CAALFM_C102830WA",0.199170164851417
"PDE2",-0.299648084371861
"CAALFM_C102850WA",-1.22319151957308
"YKT6",1.31518755238022
"YPT7",0.816035129080433
"MIA40",-0.822767060039837
"CAALFM_C102890CA",-0.0167661886280997
"CAALFM_C102900CA",-0.944902931305868
"CAALFM_C102910CA",1.67486465967729
"CDC73",0.0250382749987658
"MST1",-0.795352229156484
"CAALFM_C102940CA",0.589927283058443
"CAALFM_C102950WA",1.40852498990792
"CAALFM_C102960CA",-0.182519101462166
"CAALFM_C102970WA",3.58195107277125
"GOR1",5.06759526321687
"XOG1",1.27655017638497
"HOL1",0.781379030187912
"RPP1A",-0.644180195382877
"RPL13",-0.616044991239583
"RPS16A",-0.64447463550763
"CAALFM_C103040WA",0.709248514657078
"CAALFM_C103050WA",0.241157449771369
"TSR2",-2.34204921160262
"ORC1",0.377786712922633
"TEM1",1.20341210656717
"RPS1",-0.692921370460523
"CAALFM_C103100WA",2.40880692927336
"RPL6",-0.758459762130039
"CAALFM_C103120WA",0.411487992641464
"GGA2",0.97312103129692
"CAALFM_C103140WA",2.24471552732397
"CAALFM_C103150CA",2.58205597288003
"COQ4",0.310212019503994
"CAALFM_C103170CA",1.10502460809459
"CAALFM_C103180WA",0.475335005798932
"ECM33",0.0373471479302465
"ARO80",-0.209803755399927
"CDC12",0.913491728919385
"BMH1",0.681526579674482
"ARX1",-3.36192812325376
"CAALFM_C103240WA",-0.579897941089739
"SPP1",0.173117266009515
"CAALFM_C103260WA",-0.979297718370214
"CAALFM_C103270WA",1.3481289697931
"CAALFM_C103280WA",-0.800895850445038
"NGG1",-0.00982532803764805
"MAS1",-0.751703447859384
"CAALFM_C103310WA",-0.0943195647297774
"EHD3",1.34424711809496
"CAALFM_C103330CA",1.11007549163377
"SEC62",0.945575884640186
"RLI1",-1.2104609651485
"CAALFM_C103360WA",-0.568989448581172
"CAALFM_C103370WA",-1.95312216734683
"TPS2",1.62203749050907
"EHT1",-2.69341117667787
"CAALFM_C103400WA",-0.319338392998026
"CAALFM_C103410WA",-0.656398562373077
"tN(GUU)3",0.221855392587714
"CAALFM_C103430WA",0.714844901674928
"CAALFM_C103440CA",-0.0590587566742002
"CAALFM_C103450CA",1.67709243562334
"CAALFM_C103460CA",-3.6385611222133
"CAALFM_C103470CA",1.39480354210768
"AGE1",1.43861773646976
"CAALFM_C103490WA",3.06613369767056
"YPT1",0.60825964374984
"CAALFM_C103510CA",2.76887762200888
"RPN3",0.604377574408627
"MED17",-0.269632187038169
"CAALFM_C103540CA",-0.463472001414803
"COQ6",0.137067536593383
"SUA71",-0.913195384743063
"tL(UAA)3",-0.0216672154953966
"CAALFM_C103580WA",0.526403311203644
"CAALFM_C103600WA",1.70152310062562
"IMP1",-0.144417414085815
"CAALFM_C103620CA",-1.38071054041634
"CAALFM_C103630WA",-0.792826278415282
"HFL1",-0.508910662126734
"MRPL27",-1.15658480062229
"CAALFM_C103660WA",2.06285340287167
"DAO1",3.26188549821864
"ENG1",-1.21671517790456
"CAALFM_C103690WA",0.668497620590262
"tT(CGU)1",-0.829314043753224
"MSB1",-0.195551823162486
"CAALFM_C103720CA",3.41505536683742
"MNS1",2.10847364094222
"WAR1",-0.627642280234088
"CAALFM_C103750WA",0.273917986024465
"STR2",0.183959461734272
"SKO1",-0.180307066966408
"HMG1",-1.02111671327293
"CAALFM_C103790CA",-2.96426229791577
"RPP1",-1.37477761253876
"ELA1",-0.111982006715199
"PDR16",-0.771229833676391
"CAALFM_C103830CA",-1.75006491725961
"CAALFM_C103840WA",-1.34418814519814
"BNI4",-0.30627396713433
"CAALFM_C103870CA",-4.9050027196079
"CAALFM_C103880CA",-0.183856713299156
"CAALFM_C103890WA",-1.36282024827274
"SEN15",-0.854110802563792
"CAALFM_C103910CA",-0.128316519898437
"CAALFM_C103920CA",-0.383395115718913
"CAALFM_C103930WA",-0.701460991008576
"CAALFM_C103940WA",0.0462475338857812
"CAALFM_C103950CA",0.0591254194927961
"CAALFM_C103960CA",-0.242989646808156
"SPC19",-0.120916778674183
"CAALFM_C103990WA",0.681939222110979
"KTR4",-0.895109206938959
