"","condition_YL3_vs_ctl"
"CAALFM_C103880CA",-0.0775581449626163
"CAALFM_C103890WA",-0.447128904718678
"SEN15",0.0862873410925947
"CAALFM_C103910CA",-0.141182964053659
"CAALFM_C103920CA",-0.00650102969062271
"CAALFM_C103930WA",0.301711410765519
"CAALFM_C103940WA",1.26726063631622
"CAALFM_C103950CA",0.572226258036418
"CAALFM_C103960CA",0.133480396286046
"SPC19",-0.425342369147316
"CAALFM_C103990WA",-0.071522749429237
"KTR4",-0.0607787516224772
"CAALFM_C104010CA",0.325077122900332
"CSH1",1.41605952548959
"CAALFM_C104030WA",0.889440447500477
"CAALFM_C104040CA",-0.928919486818014
"MFALPHA",-0.034128572723178
"IFI3",1.63604570986308
"BET4",0.784627529231972
"MAD2",0.355068602692494
"CAALFM_C104090CA",-0.434344873337041
"POR1",2.13902085354699
"CAALFM_C104110WA",0.0937069864551858
"CAALFM_C104120CA",0.427268533640861
"ERB1",-0.959435100753525
"IFD6",0.985639960019467
"CAALFM_C104150CA",0.00716877628494947
"CAALFM_C104160CA",-0.22187249190229
"HTA2",-0.141751322925691
"CAALFM_C104180WA",0.0767638209249863
"CAALFM_C104190CA",0.0329337441998508
"CAALFM_C104200CA",0.897646691375954
"CDC3",-0.263998931539828
"CAALFM_C104220CA",0.536168925123071
"CAALFM_C104230WA",0.344136005157378
"HHF1",-0.284033308960098
"HHT21",-0.0541272098763652
"CAALFM_C104270CA",-2.2337505831624
"CAALFM_C104280CA",-0.0664155795416778
"ACS2",1.5547332510586
"SSA2",1.8659348182721
"GIG1",0.804592708947616
"GPM2",2.07001601884492
"RPN4",-1.65085939502711
"CAALFM_C104340CA",0.420481295514278
"CAALFM_C104350CA",-0.927527539216162
"CAALFM_C104360CA",2.76131655695647
"CAALFM_C104370CA",0.168516135278015
"SIT4",-0.158119314552686
"NOP4",-1.49447898087766
"APE2",1.69475954078262
"ESS1",0.00431386823319495
"URA6",0.430949568796664
"CAALFM_C104430CA",1.60066147011007
"CAALFM_C104440WA",NA
"FMA1",1.261346413581
"CAALFM_C104460CA",0.11805442843618
"CAALFM_C104470CA",-0.927226412672371
"TUS1",1.21063465298072
"CAALFM_C104490WA",-0.675907066452526
"ICL1",0.477510921251449
"CAALFM_C104510WA",-0.547093954029531
"PHO85",0.449984196934846
"CAALFM_C104530CA",-0.737928679336639
"VPS16",0.843309099941265
"ELC1",0.579597900401063
"CAALFM_C104560WA",2.42916775710995
"CHL4",-0.410443065293846
"CAALFM_C104580CA",-0.243330476963587
"CAALFM_C104590WA",-0.193737230556483
"CAALFM_C104600CA",0.166253157644935
"ATP1",1.05389043885408
"CAALFM_C104620WA",-0.582015062365266
"CAALFM_C104630CA",-0.644157532140534
"CAALFM_C104640WA",3.12359954476316
"DUR3",-0.0380674706646352
"DUR1%2C2",-0.539351750662722
"HAT1",0.219049393578464
"PIL1",2.71893583662808
"CAALFM_C104690CA",-1.54688346418792
