"","condition_LS3_vs_ctl"
"RPS1",-0.264575743162091
"CAALFM_C103100WA",2.32340872582009
"RPL6",-0.225709043946435
"CAALFM_C103120WA",-0.240266222560461
"GGA2",1.2106250640003
"CAALFM_C103140WA",2.61858080882735
"CAALFM_C103150CA",4.04775655652135
"COQ4",0.400588816979492
"CAALFM_C103170CA",0.555254883730406
"CAALFM_C103180WA",0.432182743858146
"ECM33",-0.557258104758045
"ARO80",-0.0240177914641143
"CDC12",-0.383074869895692
"BMH1",0.538134354049703
"ARX1",-0.975790006812211
"CAALFM_C103240WA",0.781703942961381
"SPP1",-0.0239865138360959
"CAALFM_C103260WA",-0.687399672064073
"CAALFM_C103270WA",0.411841107054606
"CAALFM_C103280WA",-0.386659250230086
"NGG1",-0.305538434950168
"MAS1",-0.441809374003085
"CAALFM_C103310WA",-0.440094444296132
"EHD3",0.932344363001978
"CAALFM_C103330CA",0.23833373287801
"SEC62",-1.22599132509992
"RLI1",-0.901603939858812
"CAALFM_C103360WA",-0.0746395889221466
"CAALFM_C103370WA",-1.52537777691925
"TPS2",1.9046848284829
"EHT1",-0.84577729476325
"CAALFM_C103400WA",0.35439002941858
"CAALFM_C103410WA",0.0113015576143831
"tN(GUU)3",-0.0993335887682719
"CAALFM_C103430WA",0.486786293281449
"CAALFM_C103440CA",0.095611566026142
"CAALFM_C103450CA",1.67389000436838
"CAALFM_C103460CA",-2.05868738330784
"CAALFM_C103470CA",-0.458008602261134
"AGE1",1.499947330742
"CAALFM_C103490WA",2.36837858529696
"YPT1",-0.327776983075775
"CAALFM_C103510CA",3.14367998148829
"RPN3",0.087581521312244
"MED17",-0.535655616552089
"CAALFM_C103540CA",-0.369143013749994
"COQ6",0.340642152586821
"SUA71",-0.825642300413145
"tL(UAA)3",0.102293595106668
"CAALFM_C103580WA",-0.137710401422367
"CAALFM_C103600WA",0.703356798561358
"IMP1",0.075688293336124
"CAALFM_C103620CA",-0.528360404239234
"CAALFM_C103630WA",-0.432256609541153
"HFL1",-1.09698749680926
"MRPL27",-0.556023823360771
"CAALFM_C103660WA",0.942720336841088
"DAO1",4.19004433157329
"ENG1",0.641100500269886
"CAALFM_C103690WA",0.533613660746227
"tT(CGU)1",-0.098067048510073
"MSB1",-0.872182168233744
"CAALFM_C103720CA",3.13782872324141
"MNS1",1.2580642003139
"WAR1",-0.240275093783887
"CAALFM_C103750WA",0.291464312468528
"STR2",-0.0917922412126562
"SKO1",-1.25308228271764
"HMG1",-0.468024927226958
"CAALFM_C103790CA",-0.884341369435602
"RPP1",-0.0854455287662228
"ELA1",-0.716920852858418
"PDR16",-3.04326833200763
"CAALFM_C103830CA",-0.415814800632138
"CAALFM_C103840WA",-0.308958595361899
"BNI4",-0.708867308345913
"CAALFM_C103870CA",-0.707307477697618
"CAALFM_C103880CA",-0.242538358738353
"CAALFM_C103890WA",-0.34080832892647
"SEN15",0.111790508094686
"CAALFM_C103910CA",-0.0176152215965638
"CAALFM_C103920CA",0.17677181493235
"CAALFM_C103930WA",-0.0557914707313873
"CAALFM_C103940WA",0.39629452053399
"CAALFM_C103950CA",0.247138939521412
"CAALFM_C103960CA",-0.297639531248026
"SPC19",-0.471512269233729
"CAALFM_C103990WA",-0.628495765344256
"KTR4",-0.0146752199569089
"CAALFM_C104010CA",-0.406041684709853
"CSH1",3.51938793423411
"CAALFM_C104030WA",0.722257159633077
"CAALFM_C104040CA",-0.649029984003017
"MFALPHA",1.59539754378957
"IFI3",2.79660310135467
"BET4",0.296484817194633
"MAD2",-0.146343177135764
"CAALFM_C104090CA",-0.487623471389441
"POR1",2.46705745634414
"CAALFM_C104110WA",-0.590089359947407
"CAALFM_C104120CA",0.186441182443227
"ERB1",-0.695388895804365
"IFD6",-0.0585881344714827
"CAALFM_C104150CA",-0.423714383744524
"CAALFM_C104160CA",0.15508922445563
"HTA2",-0.277481443458442
"CAALFM_C104180WA",-0.105116962371345
"CAALFM_C104190CA",0.0856199361658377
"CAALFM_C104200CA",0.878009442480383
"CDC3",0.0818030878407734
"CAALFM_C104220CA",0.0494391689386661
"CAALFM_C104230WA",0.252265862078665
"HHF1",-0.575157153232226
"HHT21",-0.228336468564775
"CAALFM_C104270CA",-2.80980375786725
"CAALFM_C104280CA",-0.0992351510321684
"ACS2",2.07670773125235
"SSA2",0.423108647097472
"GIG1",-0.00905554379414564
"GPM2",1.90099595292439
"RPN4",-1.23429116116738
"CAALFM_C104340CA",0.0067615257950831
"CAALFM_C104350CA",-0.0592720477472388
"CAALFM_C104360CA",1.93482176734986
"CAALFM_C104370CA",-0.201072662064063
"SIT4",-0.287956763480646
"NOP4",-0.918140701646786
"APE2",0.702488139611174
"ESS1",-0.0930896091482329
"URA6",-0.283666540175168
"CAALFM_C104430CA",2.29586714873286
"CAALFM_C104440WA",NA
"FMA1",-1.1485562697828
"CAALFM_C104460CA",-0.015517556018764
"CAALFM_C104470CA",0.489045981189435
"TUS1",1.66232140989064
"CAALFM_C104490WA",-0.704905115301863
"ICL1",0.696708520572381
"CAALFM_C104510WA",-0.355555179039172
