"","condition_FL3_vs_ctl","condition_FL30_vs_ctl","condition_FS3_vs_ctl","condition_FS30_vs_ctl","condition_LL3_vs_ctl","condition_LL30_vs_ctl","condition_LS3_vs_ctl","condition_LS30_vs_ctl","condition_RL3_vs_ctl","condition_RL30_vs_ctl","condition_RS3_vs_ctl","condition_RS30_vs_ctl","condition_SL3_vs_ctl","condition_SL30_vs_ctl","condition_SS3_vs_ctl","condition_SS30_vs_ctl","condition_YL3_vs_ctl","condition_YS3_vs_ctl","condition_YS30_vs_ctl"
"MNN4",-1.55805173828559,-1.27201938755274,-1.9102248939512,-1.54873103443644,-2.13526300889298,-1.48603578905829,-1.79109072094137,-1.62077162847439,-1.96532217134886,-0.83641997036376,-1.61022277893364,-1.13674016693641,-1.77398430325648,-1.66540349752483,-1.98247725854453,-2.16477274554861,-1.34026427607522,-1.59805647153295,-0.66789979519563
"IFF5",2.08846937078152,1.02690785717971,1.94507792328738,1.34027005503931,2.15787995041442,1.68631798855863,1.51931984949569,1.7769106520303,1.92086019608501,1.35258936131582,1.59380535362254,1.4553681009208,1.98997919331976,2.06163120216195,1.7555544754306,1.10176387812875,0.809123659236426,1.10702237981879,0.23766899465562
"PGA15",0.458016902690581,0.928969459665689,0.804926747715551,1.26527933051203,0.826174922242253,0.881492954241604,0.587872664149455,1.41253314300068,0.766701249291855,0.18600478716065,0.555573238338954,0.883519453124414,0.730286176019068,0.0998097761871858,0.460447797535662,0.292893191108613,0.239332589292052,-0.0645303906552951,0.576629741064667
"PDC11",6.03144945713238,4.44280925244716,4.67264609038963,4.95144909041982,4.37651044277905,3.00838489327093,4.20568658240368,6.16286642566861,4.80935073327048,3.75731493764228,3.60471238492033,6.46523962594855,4.24831179726174,-0.448240321116736,2.41523894770577,-0.441891610539524,3.49136333510821,3.40808075263443,5.53684831115397
"CBF1",0.35827490729906,0.0247969481201972,-0.889276131580227,-0.209844077748862,0.54013692765842,0.226677562902494,-0.55110288620467,0.567244661794875,0.482032428320021,0.130636176163413,-0.554485760754101,0.451057438848193,0.313471741124895,-0.30351730994204,-0.215777597693015,-0.653921817884568,0.464791119523425,0.0720307447213306,0.503345610522992
"CAALFM_C406590WA",-0.353487521312451,-0.997340814565477,-0.925035955486222,-1.04644431643207,-0.535447294979168,-1.0677277813185,-0.908805597744501,-0.597432974474661,-0.410344202734477,-0.516271946940312,-0.88991251095849,-0.974140243244821,-0.561421693097095,-1.47097056448992,-0.932426975481906,-1.35799709606075,-0.321170320323435,-0.909743500283181,-0.0543654555138615
"TOP2",-1.65590138681526,-2.17579303254085,-1.53940029031596,-0.742366394042908,-1.92050364711432,-2.55020564638935,-1.22071614066738,-1.52887217775694,-1.87607619192121,-1.5104527624324,-1.28418597168499,-0.807838583266698,-1.50541977649897,-2.38562017718662,-1.17831037461646,-1.26558617758226,-1.25339281730282,-1.10044530941024,0.008148246937565
"SDH12",0.0833741069062307,0.142176754231864,-1.15014203025242,-0.433289237315052,-0.684323653335828,-0.609070695922316,-0.0557067313137556,-0.298596446866526,-0.438912891344675,0.0897757464461339,-0.000247241346525752,-0.0616677964164429,0.382888736244739,0.905878143205996,0.306724749923718,0.868497044659058,0.950662427830132,0.611655113011027,0.215316923416426
"CAALFM_C406620CA",-0.774904746563158,-0.410926381178215,-2.17587378271871,-0.0355185341900134,0.424186771253083,-0.891011747966297,-1.36643166247507,4.86309711106328,-4.27254423182147,-0.573169055876158,-2.00832687135736,0.463566415933228,-0.80080563931447,-0.102198854404601,-0.619802499957077,4.1416592736976,-0.879419332167163,-1.32424913275067,0.398154698487477
"CAALFM_C406630CA",-0.223328472408624,0.195117616324677,-0.441632053532726,-0.110029737599245,0.0813113832046234,0.451862806911782,-0.300362288328623,0.587419530656793,-0.455706408572511,-0.110766013430773,-0.834117703997852,-0.00507493895662063,-0.427396032089055,-0.0301955793040136,-0.629539821767531,0.711696659806425,0.257797960912031,0.000436551054378765,-0.0674383241851309
