"","FL.log2FoldChange","FS.log2FoldChange","LL.log2FoldChange","LS.log2FoldChange","RL.log2FoldChange","RS.log2FoldChange","SL.log2FoldChange","SS.log2FoldChange","YS.log2FoldChange"
"CAALFM_C305020WA",0.333970181821169,0.0829535483312601,0.530911667754153,0.239904169779148,0.414165362730627,0.193535749969743,0.334372158838302,0.215882738875421,0.0402034749302631
"PHB2",-0.456292687110648,-0.86951813642173,-0.762810888745434,-0.447078922734821,-0.471815548303794,-0.417604909769755,-0.367821341304246,-0.345636983858408,-0.188528788789759
"ATG9",0.590864896077458,0.946926116524431,0.832290624398825,0.295151120079065,0.561718918304599,0.35778547834309,0.442879668384996,0.400732928960654,0.0165213599702877
"TRY4",0.271854188484122,0.0480816469105822,7.74678320925972,0.0413131232351876,0.101006377624095,0.0183541553155014,5.95265742589777,0.13022160307724,0.0022218926441735
"CAALFM_C305060WA",-0.0819611639334806,0.626117338767396,0.420826911082808,0.64317723452831,-0.152529033097102,0.477376432415778,-0.0325380652886102,0.169966926778394,0.302386258382584
"CEM1",-0.548461750455922,0.0732138738940761,-0.935263841727949,0.0479135099524243,-0.62276553858891,0.126140996588445,-0.429625087549835,0.017622573105237,0.0639277307789686
"CAALFM_C305080WA",0.339014550647292,0.110743294109312,0.534330574670652,-0.0466164513198355,0.0964295761022881,-0.0215501417638602,0.267029630415127,-0.30966772454261,-0.0774391545693735
"CAALFM_C305090CA",0.519873060870861,0.115706445682621,0.857554790236772,0.210237034524568,0.428157408080288,0.258047707349945,0.560897764717641,0.206786681257492,-0.0812404745129526
"RPL18",-0.689034535492326,-0.66986834761524,-1.46712101483094,-0.342923130731788,-0.425289667310366,-0.285872326503579,-0.656976046037746,-0.507866750627216,-0.00820340754611434
"CAALFM_C305110WA",-0.192495152635322,-0.197838867254043,0.226585897220528,-0.196725854563436,0.169107269509675,-0.465818624418334,-0.13845649092569,-0.00041508164778854,-0.515616194582482
"CAALFM_C305120CA",-0.0952120810111074,-0.00741238924874454,-0.241362242866558,0.0922048368394703,-0.0646205697437624,-0.0338595738915878,-0.0971776541275678,-0.115681171035256,-0.0169400589316397
"THI4",0.200425136528813,0.926543862103427,0.471111986156201,7.41683189092756,-0.00536114363716958,0.0175553404392122,0.310589291543994,0.193725457384022,-0.0136884455041498
"CAALFM_C305140CA",-0.477498947886462,0.160846910715457,-1.14756882312808,0.182178941206059,-0.457949399571187,0.181379737697474,-0.447996036073977,0.0317463361046188,0.0524632243008275
