"","condition_RL30_vs_ctl"
"EHD3",-0.40678950798564
"CAALFM_C103330CA",0.550861294045399
"SEC62",1.4628730282933
"RLI1",0.259627391156881
"CAALFM_C103360WA",-0.246250250325834
"CAALFM_C103370WA",0.00166948217091207
"TPS2",0.167298754339221
"EHT1",-0.563386097164824
"CAALFM_C103400WA",0.0855667075043913
"CAALFM_C103410WA",-0.430676946621604
"tN(GUU)3",-0.711862155864428
"CAALFM_C103430WA",0.113740892571987
"CAALFM_C103440CA",-0.197469535294659
"CAALFM_C103450CA",-0.0960560207389419
"CAALFM_C103460CA",-1.49721331983855
"CAALFM_C103470CA",0.427489868895327
"AGE1",-0.164828005041102
"CAALFM_C103490WA",-0.449752486425035
"YPT1",0.548551498055487
"CAALFM_C103510CA",-1.68923506296232
"RPN3",-0.0871543843943853
"MED17",0.222939718264079
"CAALFM_C103540CA",-0.0503239350868235
"COQ6",-0.841790711341471
"SUA71",0.113341317599718
"tL(UAA)3",0.0247775187453995
"CAALFM_C103580WA",0.0604021322200355
"CAALFM_C103600WA",0.286935804841016
"IMP1",-0.0306855822929053
"CAALFM_C103620CA",-1.52206683181923
"CAALFM_C103630WA",0.602363611426304
"HFL1",0.296263918758087
"MRPL27",-0.47731586489011
"CAALFM_C103660WA",0.862621164508879
"DAO1",-1.54693844386938
"ENG1",-2.07858173880736
"CAALFM_C103690WA",-0.36578387934668
"tT(CGU)1",-0.226739505107695
"MSB1",0.64083046464115
"CAALFM_C103720CA",-0.497905090712264
"MNS1",0.314403136025531
"WAR1",0.0425936128645005
"CAALFM_C103750WA",-0.135772404959932
"STR2",0.319288459335382
"SKO1",0.603789600687063
"HMG1",-0.401794624399284
"CAALFM_C103790CA",-0.0753217934491211
"RPP1",-0.189161872572912
"ELA1",0.242225710529366
"PDR16",0.32049616945805
"CAALFM_C103830CA",-0.319845758396868
"CAALFM_C103840WA",-0.489176400399247
"BNI4",0.770342664121297
"CAALFM_C103870CA",-4.0170248908906
"CAALFM_C103880CA",0.0205541372121608
"CAALFM_C103890WA",-1.26664607471153
"SEN15",-0.490421586975565
"CAALFM_C103910CA",0.0471789602197133
"CAALFM_C103920CA",0.104834124020927
"CAALFM_C103930WA",-0.516703775744792
"CAALFM_C103940WA",-0.744534379375206
"CAALFM_C103950CA",-0.542108985777703
"CAALFM_C103960CA",0.12190902006899
"SPC19",0.260947576076715
"CAALFM_C103990WA",-0.0804999024803077
"KTR4",-0.617698676898048
"CAALFM_C104010CA",0.580381123859867
"CSH1",1.32155302712668
"CAALFM_C104030WA",-0.714498111716268
"CAALFM_C104040CA",-0.201923455223567
"MFALPHA",0.299035559039266
"IFI3",0.0350373909517264
"BET4",-0.572351276793799
"MAD2",-0.284555853755275
"CAALFM_C104090CA",0.217973389848415
"POR1",-0.137805214643225
"CAALFM_C104110WA",-0.0576943450734894
"CAALFM_C104120CA",-0.903053457596443
"ERB1",-0.187653992311617
"IFD6",0.0998545721424731
"CAALFM_C104150CA",0.378473725858688
"CAALFM_C104160CA",0.0478369051072094
"HTA2",-0.875461267287306
"CAALFM_C104180WA",-0.978630302994915
"CAALFM_C104190CA",0.374316030847707
"CAALFM_C104200CA",0.021022097753167
"CDC3",0.859712140835096
"CAALFM_C104220CA",-0.38530585171378
"CAALFM_C104230WA",-0.203483685209019
"HHF1",-0.298292336515782
"HHT21",-0.712099434646718
"CAALFM_C104270CA",0.13500908775136
"CAALFM_C104280CA",0.350128684954078
"ACS2",0.419165473769034
"SSA2",-1.26209638454392
"GIG1",0.0375840963138393
"GPM2",-1.24492650644923
"RPN4",1.2806860050838
"CAALFM_C104340CA",-0.659299860672736
"CAALFM_C104350CA",0.739565098176756
"CAALFM_C104360CA",-1.71230133711291
