"","condition_RS3_vs_ctl"
"CAALFM_C104180WA",-0.217712209619579
"CAALFM_C104190CA",-0.079608822891398
"CAALFM_C104200CA",-0.0450653093759438
"CDC3",0.145766698128558
"CAALFM_C104220CA",-0.364099601330909
"CAALFM_C104230WA",-0.153450701404119
"HHF1",-0.298786020117524
"HHT21",-0.168743496845015
"CAALFM_C104270CA",-0.0613762481951428
"CAALFM_C104280CA",0.120648232079516
"ACS2",0.194472167584487
"SSA2",-0.898627767036662
"GIG1",-0.159926242622618
"GPM2",-0.00659789285886372
"RPN4",0.105973393504072
"CAALFM_C104340CA",-0.176106484218784
"CAALFM_C104350CA",0.544774465408614
"CAALFM_C104360CA",-0.588033743935322
"CAALFM_C104370CA",-0.412803919227631
"SIT4",-0.11173608697555
"NOP4",0.224255453425162
"APE2",-0.700887883730318
"ESS1",-0.137520953184586
"URA6",-0.602431277674204
"CAALFM_C104430CA",0.54190527800123
"CAALFM_C104440WA",NA
"FMA1",-4.17180699028264
"CAALFM_C104460CA",-0.143893699113457
"CAALFM_C104470CA",1.47999704723173
"TUS1",0.167008296070413
"CAALFM_C104490WA",-0.0670732944348747
"ICL1",-0.070590307865481
"CAALFM_C104510WA",0.100832853178509
"PHO85",0.0833928810399627
"CAALFM_C104530CA",0.184978800395745
"VPS16",0.16396050261064
"ELC1",-0.10929749236528
"CAALFM_C104560WA",0.108042683713135
"CHL4",-0.00890603035781716
"CAALFM_C104580CA",0.107505647353365
"CAALFM_C104590WA",-0.0253402419825262
"CAALFM_C104600CA",-0.653323898011223
"ATP1",-0.661902283322672
"CAALFM_C104620WA",0.362460699485038
"CAALFM_C104630CA",0.24311182945468
"CAALFM_C104640WA",0.208784399024786
"DUR3",0.0287332449793138
"DUR1%2C2",0.114618606333296
"HAT1",-0.0131974104842774
"PIL1",0.450568061402455
"CAALFM_C104690CA",-0.0488083633025073
"CAALFM_C104700CA",0.430307947917157
"CAALFM_C104710CA",0.16078786705125
"CAALFM_C104720WA",-0.0154982743235762
"LYS21",0.0794624773075515
"LPG20",0.0510048958837602
"IFE1",-0.203491899857666
"SYG1",0.201858711418761
"ERG3",-0.254421448326363
"CAALFM_C104780CA",0.0906644106183223
"CAALFM_C104790WA",-0.171451408900219
"CAALFM_C104800CA",1.19348374293911
"TCO89",-0.0783768183717575
"CAALFM_C104820CA",-0.489019381488833
"SEC21",-0.0204959875474955
"CAALFM_C104840CA",-0.0995894675159055
"CAALFM_C104850CA",0.298144948416658
"CAALFM_C104860WA",0.0139726633172015
"SAP7",0.170706521707457
"MRPL37",-0.244106448361986
"YBN5",-0.250370170206617
"MNN15",0.466598864979089
"CAALFM_C104910CA",0.160761236190137
"CAALFM_C104930CA",1.38226255396817
"CAALFM_C104940CA",0.969558672908398
"RPM2",0.0684847122670575
"CAALFM_C104960CA",0.0338169420816953
"CAALFM_C104970WA",-0.133821430721008
"CAALFM_C104980CA",0.103789085241891
"CAALFM_C104990CA",0.104407094250733
"RHD1",-0.148134260516342
"CAALFM_C105010CA",-0.0986642198926776
"ARG2",-0.0971665241679427
"PSF2",-0.0294600096537265
"RRP6",0.220516594860131
"REI1",0.109627654053382
"GPI7",0.0790339876737401
"GPT1",0.662199021794513
