"","condition_YS30_vs_ctl"
"HOM6",-1.85290580519953
"EXG2",0.0477806421511573
"TOM20",0.256871667916694
"CAALFM_C102650WA",-0.178124787228736
"MGM101",-0.15359292558692
"CAALFM_C102670CA",0.792575648917857
"CAALFM_C102680CA",1.58396229930527
"CAALFM_C102690CA",0.0932937718567119
"CAALFM_C102700CA",-0.234649609040529
"FRS2",0.197403075393582
"CAALFM_C102720WA",0.0357030212852746
"CAALFM_C102730WA",-0.292763126118533
"CAALFM_C102740CA",-0.0470187428059375
"CAALFM_C102750CA",0.108872664446631
"CAALFM_C102760WA",0.107099133344711
"CAALFM_C102770WA",-0.155291051419213
"CAALFM_C102780WA",-1.95396635437678
"TIF34",0.472789387471466
"CAALFM_C102800WA",0.652781228703439
"RAD16",1.27319452806182
"LYS2",-1.98054941138552
"CAALFM_C102830WA",-0.62502259945393
"PDE2",0.21143101257605
"CAALFM_C102850WA",-0.387543863716922
"YKT6",0.33856891738212
"YPT7",-0.192638320513099
"MIA40",-0.726414593694626
"CAALFM_C102890CA",0.146643975566789
"CAALFM_C102900CA",-0.0228813312229125
"CAALFM_C102910CA",-0.995449272912105
"CDC73",0.0646683429878415
"MST1",-1.05051979944239
"CAALFM_C102940CA",0.36069086784079
"CAALFM_C102950WA",0.0108046801904863
"CAALFM_C102960CA",-0.693159590358375
"CAALFM_C102970WA",-2.9557235693856
"GOR1",-2.51638832710477
"XOG1",1.26782200607744
"HOL1",0.165388274581171
"RPP1A",0.243764135515111
"RPL13",0.0925103706301254
"RPS16A",0.161824978438927
"CAALFM_C103040WA",0.671652631340715
"CAALFM_C103050WA",-0.0653448201589144
"TSR2",-0.0403427143045789
"ORC1",-0.25063830670305
"TEM1",-0.198916600685804
"RPS1",0.41597018628971
"CAALFM_C103100WA",-0.696321611144732
"RPL6",0.318552219713689
"CAALFM_C103120WA",1.23915264084563
"GGA2",-0.486577549383573
"CAALFM_C103140WA",-1.1610977331658
"CAALFM_C103150CA",-2.29299154126459
"COQ4",-0.368885172517866
"CAALFM_C103170CA",-0.441264808101132
"CAALFM_C103180WA",-0.681598136067486
"ECM33",0.252441329049019
"ARO80",-1.0198735799571
"CDC12",0.623827632004929
"BMH1",-0.314355392327189
"ARX1",0.951019861086649
"CAALFM_C103240WA",-0.513497734642788
"SPP1",0.49898936267724
"CAALFM_C103260WA",0.368688421985488
"CAALFM_C103270WA",0.420856102297757
"CAALFM_C103280WA",-0.587135806324247
"NGG1",0.341549374112005
"MAS1",-0.526999130241927
"CAALFM_C103310WA",0.0588941063863789
"EHD3",-1.74356042794004
"CAALFM_C103330CA",-0.129074064026222
"SEC62",0.407437354134511
"RLI1",0.51232118568826
"CAALFM_C103360WA",-0.470794873386231
"CAALFM_C103370WA",0.81467993967053
"TPS2",0.390331012237914
"EHT1",0.516002856475147
"CAALFM_C103400WA",1.299733445043
"CAALFM_C103410WA",0.561665869094252
"tN(GUU)3",-0.684029034221517
"CAALFM_C103430WA",-0.547330769487589
"CAALFM_C103440CA",0.218901025737209
"CAALFM_C103450CA",-0.256302474876873
"CAALFM_C103460CA",0.804472764778725
"CAALFM_C103470CA",0.809980490150987
"AGE1",-0.428037326641601
"CAALFM_C103490WA",-1.28047134577441
"YPT1",0.638368199555087
"CAALFM_C103510CA",-0.665902289373972
"RPN3",0.393385988959951
"MED17",0.333273693851189
"CAALFM_C103540CA",-0.0763029642334686
"COQ6",-0.370059393897558
"SUA71",0.586651112097597
"tL(UAA)3",0.0257500510151642
"CAALFM_C103580WA",-0.0309454506573975
"CAALFM_C103600WA",-0.11524466357192
"IMP1",-0.249763264967714
"CAALFM_C103620CA",-0.0756359125053934
"CAALFM_C103630WA",0.0858885384755193
"HFL1",0.466253670091101
"MRPL27",-0.0463163999980792
"CAALFM_C103660WA",-0.390808351359765
"DAO1",-2.1360643855186
"ENG1",-1.30743590528147
"CAALFM_C103690WA",-0.284810827288114
"tT(CGU)1",-0.320071037252435
"MSB1",0.103688962795848
"CAALFM_C103720CA",-0.0446883224400107
"MNS1",-0.242986201785229
"WAR1",-0.338403306148253
"CAALFM_C103750WA",0.0413594930798592
"STR2",-0.156720673258971
"SKO1",-0.406191043504237
"HMG1",-0.0698140641097632
"CAALFM_C103790CA",0.588794320113687
