"","condition_SS30_vs_ctl"
"DAO1",1.06754806963719
"ENG1",-0.85427904057404
"CAALFM_C103690WA",-0.526840099484697
"tT(CGU)1",-0.639301375053516
"MSB1",-0.0805689913016565
"CAALFM_C103720CA",1.26244955151451
"MNS1",0.348444733721243
"WAR1",0.68033061039328
"CAALFM_C103750WA",-2.08817016262851
"STR2",-0.0169920562750544
"SKO1",-0.863495649047168
"HMG1",-0.337904011102644
"CAALFM_C103790CA",-0.042478387747462
"RPP1",-0.350415231495908
"ELA1",-0.757767932961407
"PDR16",-1.01060347623249
"CAALFM_C103830CA",-0.546060654050291
"CAALFM_C103840WA",-1.40078164765074
"BNI4",0.838120285268633
"CAALFM_C103870CA",1.74176684195713
"CAALFM_C103880CA",-0.0363276473673232
"CAALFM_C103890WA",-1.18759813364606
"SEN15",-0.641536118488501
"CAALFM_C103910CA",-0.213504642214857
"CAALFM_C103920CA",0.237733383121522
"CAALFM_C103930WA",-0.218220115474231
"CAALFM_C103940WA",-0.320150997062509
"CAALFM_C103950CA",0.0293744862399385
"CAALFM_C103960CA",0.52141391996861
"SPC19",0.404396877466361
"CAALFM_C103990WA",0.0688155570102054
"KTR4",-0.217949082553048
"CAALFM_C104010CA",1.00194494140923
"CSH1",1.57272764201291
"CAALFM_C104030WA",-0.284743210823374
"CAALFM_C104040CA",-0.102066317653516
"MFALPHA",-0.0573494125753993
"IFI3",1.64454115673768
"BET4",-0.77427403427215
"MAD2",-0.548427032588044
"CAALFM_C104090CA",0.321509698411422
"POR1",0.407327067989942
"CAALFM_C104110WA",0.0516422761463661
"CAALFM_C104120CA",-0.795546815352226
"ERB1",-0.090974499809886
"IFD6",0.442791920754385
"CAALFM_C104150CA",-0.837801790521768
"CAALFM_C104160CA",0.0225892779472616
"HTA2",-0.367153480733262
"CAALFM_C104180WA",-0.710158743783313
"CAALFM_C104190CA",0.0678358888293758
"CAALFM_C104200CA",0.00252987505066271
"CDC3",-0.080113231481671
"CAALFM_C104220CA",-0.627707883409386
"CAALFM_C104230WA",0.143256971617226
"HHF1",-0.235258377856178
"HHT21",-0.498751380027609
"CAALFM_C104270CA",0.689837439806939
"CAALFM_C104280CA",-0.318676780990925
"ACS2",-0.641287422919363
"SSA2",-2.11903493708545
"GIG1",-0.50133032725954
"GPM2",-0.455471812093691
"RPN4",1.84104909251977
"CAALFM_C104340CA",-1.14293723160979
"CAALFM_C104350CA",2.47264726122543
"CAALFM_C104360CA",-0.228887536069843
"CAALFM_C104370CA",-0.51027052093184
"SIT4",0.512718864652514
"NOP4",0.204839147142569
"APE2",0.278443967581304
"ESS1",-0.150236257050634
"URA6",-1.01277507777418
"CAALFM_C104430CA",0.0468864534848526
"CAALFM_C104440WA",NA
"FMA1",-1.70716305005151
"CAALFM_C104460CA",5.93336766740794
"CAALFM_C104470CA",1.00030025952954
"TUS1",0.169239464239493
"CAALFM_C104490WA",-0.378462548232221
"ICL1",4.84546724208477
"CAALFM_C104510WA",-1.04851579507636
"PHO85",-0.0342668294807945
"CAALFM_C104530CA",-0.227488340717694
"VPS16",-0.25113522994968
"ELC1",-0.664026691623833
"CAALFM_C104560WA",0.167825906101274
"CHL4",-0.247103865867619
"CAALFM_C104580CA",0.382395114240328
"CAALFM_C104590WA",2.73756499318882
"CAALFM_C104600CA",-0.792607571010214
"ATP1",-0.550204319302859
"CAALFM_C104620WA",0.243247483806114
"CAALFM_C104630CA",0.235860560995824
"CAALFM_C104640WA",1.24194932908053
"DUR3",1.18053066361389
"DUR1%2C2",1.23841282755367
"HAT1",-0.529821993491769
"PIL1",0.506486947351851
"CAALFM_C104690CA",0.886148973037119
"CAALFM_C104700CA",1.73580959621075
"CAALFM_C104710CA",-0.526675487127956
"CAALFM_C104720WA",-0.228967957801355
"LYS21",-0.696166887267431
"LPG20",-0.678759165811928
"IFE1",2.38694415634367
"SYG1",-0.0874019229446433
"ERG3",0.13720947496202
"CAALFM_C104780CA",0.472195676899166
"CAALFM_C104790WA",-0.364849542800284
"CAALFM_C104800CA",2.27534934694958
"TCO89",0.471489848126226
"CAALFM_C104820CA",-0.200512068295472
"SEC21",0.617609410099794
"CAALFM_C104840CA",-0.743380073708602
